Messstellennummer,Messstellenname,Gewaesser,Betreiber,Datum,pHWert,Ganglinie,Klassifikation,stammdaten_link
601,MPS Berlin-Spandauer-Schifffahrtskanal,Berlin-Spandauer-Schifffahrtskanal,Land Berlin,31.10.2022 12:45,7.56,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=601,inaktiv,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=601
151,MPS Caprivibrücke,Spree,Land Berlin,31.10.2022 13:15,7.60,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=151,inaktiv,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=151
153,MPS Charlottenburg,Spree,Land Berlin,31.10.2022 13:30,7.44,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=153,inaktiv,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=153
509,MPS Landwehrkanal,Landwehrkanal,Land Berlin,31.10.2022 12:15,7.56,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=509,inaktiv,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=509
504,MPS Neuköllner Schifffahrtskanal,Neuköllner Schifffahrtskanal,Land Berlin,31.10.2022 12:45,7.76,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=504,inaktiv,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=504
414,MPS Teltowkanal,Teltowkanal,Land Berlin,31.10.2022 13:30,7.44,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=414,inaktiv,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=414
141,MS Mühlendammschleuse,Spree,Land Berlin,20.03.2023 06:00,8.15,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=141,>8.0 - 8.5,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=141
111,MS Rahnsdorf,Müggelspree,Land Berlin,20.03.2023 06:00,7.94,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=111,>7.5 - 8.0,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=111
211,MS Schmöckwitz,Dahme,Land Berlin,20.03.2023 06:00,8.68,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=211,>8.5 - 9.0,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=211
161,MS Sophienwerder,Spree,Land Berlin,20.03.2023 06:00,7.91,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=161,>7.5 - 8.0,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=161
421,MS Teltow-Werft,Teltowkanal,Land Berlin,20.03.2023 06:00,7.66,https://wasserportal.berlin.de/station.php?anzeige=g&thema=oph&station=421,>7.5 - 8.0,https://wasserportal.berlin.de/station.php?anzeige=i&thema=oph&station=421
SP_0150,Beeskow,Spree,Land Brandenburg,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/beeskow/
TK_0025,Kleinmachnow,Teltowkanal,Land Brandenburg,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/kleinmachnow/
SP_0130,Leibsch,Spree,Land Brandenburg,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/leibsch/
SP_0050,Neuhausen,Spree,Land Brandenburg,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/neuhausen/
HV_0110,Potsdam,Havel,Land Brandenburg,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/potsdam/
SP_0020,Spremberg,Spree,Land Brandenburg,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/spremberg/
